08 Oct 2018 17:15:29 read_data.py[line:38] INFO Now do the stock predict task ,date:20181008
08 Oct 2018 17:15:37 read_data.py[line:116] INFO ['20181008', '000887.SZ', 10.6, '20181015', 11.036062008142471, 10.499954997003078, '20181009', 10.700198000669479, 10.28989399075508, '持平', 0.5304020047187805]
08 Oct 2018 17:15:38 read_data.py[line:116] INFO ['20181008', '002393.SZ', 21.5, '20181015', 21.864933013916016, 21.400151297450066, '20181011', 21.60037799924612, 21.09757900238037, '上涨', 0.614333987236023]
08 Oct 2018 17:15:38 read_data.py[line:116] INFO ['20181008', '300118.SZ', 6.15, '20181009', 6.5201899945735935, 6.074211502075196, '20181015', 6.251026996970177, 5.870961004495621, '上涨', 0.5588909983634949]
08 Oct 2018 17:15:38 read_data.py[line:116] INFO ['20181008', '002037.SZ', 7.85, '20181015', 8.26143000125885, 7.7502185016870495, '20181009', 7.949937297403812, 7.2986439824104306, '下跌', 0.6062529981136322]
08 Oct 2018 17:15:38 read_data.py[line:116] INFO ['20181008', '300016.SZ', 6.57, '20181015', 7.034208006858826, 6.469870000779629, '20181009', 6.670304000079632, 6.323547996282578, '下跌', 0.574999988079071]
08 Oct 2018 17:15:38 read_data.py[line:116] INFO ['20181008', '000417.SZ', 5.17, '20181015', 5.58143000125885, 5.07021850168705, '20181009', 5.269937297403812, 4.618643982410431, '下跌', 0.6062529981136322]
08 Oct 2018 17:15:39 read_data.py[line:116] INFO ['20181008', '002623.SZ', 15.75, '20181015', 16.114933013916016, 15.650151297450066, '20181011', 15.85037799924612, 15.347579002380371, '上涨', 0.614333987236023]
08 Oct 2018 17:15:39 read_data.py[line:116] INFO ['20181008', '002725.SZ', 7.63, '20181015', 7.893758987188339, 7.529995997548103, '20181009', 7.7299625995755195, 7.428282995820045, '持平', 0.4780220091342926]
08 Oct 2018 17:15:39 read_data.py[line:116] INFO ['20181008', '300474.SZ', 38.12, '20181015', 38.73270600557327, 38.01902500063181, '20181009', 38.22079299658537, 37.86205300211906, '持平', 0.46977999806404114]
08 Oct 2018 17:15:39 read_data.py[line:116] INFO ['20181008', '600073.SH', 6.77, '20181015', 7.18143000125885, 6.670218501687049, '20181009', 6.869937297403812, 6.2186439824104305, '下跌', 0.6062529981136322]
08 Oct 2018 17:15:39 read_data.py[line:116] INFO ['20181008', '300245.SZ', 8.7, '20181015', 9.095765006542205, 8.599792999029159, '20181009', 8.800308999419212, 8.471181002259254, '下跌', 0.6376810073852539]
